x,Ser Millis,PPS Millis,,,
837,847275,846896,,,
838,848285,847896,,,
839,849286,848897,,,
840,850283,849897,,,
841,851294,850897,,,
842,852284,851898,,,
843,853298,852898,,,
844,854292,853899,,,
845,855297,854899,,,
846,856327,855900,,,
847,857340,856900,,,
848,858276,857901,,,
849,859286,858901,,,
850,860314,859901,,,
851,861284,860902,,,
852,862336,861902,,,
853,863294,862903,,,
854,864297,863903,,,
855,865341,864904,,,
856,866341,865904,,,
857,867341,866905,,,
858,868337,867906,,,
859,869330,868907,,,
860,870351,869907,,,
861,871294,870907,,,
862,872307,871908,,,
863,873280,872908,,,
864,874295,873909,,,
865,875295,874909,,,
866,876296,875910,,,
867,877349,876910,,,
868,878341,877911,,,
869,879307,878911,,,
870,880308,879911,,,
871,881298,880912,,,
872,882311,881912,,,
873,883356,882913,,,
874,884310,883913,,,
875,885283,884914,,,
876,886337,885914,,,
877,887354,886915,,,
878,888354,887915,,,
879,889339,888915,,,
880,890370,889916,,,
881,891352,890916,,,
882,892260,891917,,,
883,893268,892917,,,
884,894267,893918,,,
885,895268,894918,,,
886,896337,895919,,,
887,897253,896919,,,
888,898322,897921,,,
889,899324,898921,,,
890,900329,899921,,,
891,901342,900922,,,
892,902292,901922,,,
893,903341,902923,,,
894,904311,903923,,,
895,905274,904924,,,
896,906253,905924,,,
897,907313,906925,,,
898,908315,907925,,,
899,909326,908925,,,
900,910322,909926,,,
901,911306,910926,,,
902,912256,911927,,,
903,913273,912927,,,
904,914288,913928,,,
905,915260,914928,,,
906,916272,915929,,,
907,917275,916929,,,
908,918259,917929,,,
909,919327,918930,,,
910,920375,919930,,,
911,921329,920931,,,
912,922330,921931,,,
913,923320,922932,,,
914,924321,923932,,,
915,925365,924933,,,
916,926350,925933,,,
917,927346,926934,,,
918,928414,927934,,,
919,929399,928935,,,
920,930418,929936,,,
921,931410,930936,,,
922,932401,931937,,,
923,933358,932937,,,
924,934355,933938,,,
925,935341,934938,,,
926,936360,935939,,,
927,937363,936939,,,
928,938369,937939,,,
929,939369,938940,,,
930,940421,939940,,,
931,941422,940941,,,
932,942342,941941,,,
933,943345,942942,,,
934,944356,943942,,,
935,945328,944943,,,
936,946381,945943,,,
937,947382,946944,,,
938,948336,947944,,,
939,949372,948944,,,
940,950363,949945,,,
941,951329,950945,,,
942,952332,951946,,,
943,953358,952946,,,
944,954332,953947,,,
945,955332,954947,,,
946,956361,955948,,,
947,957339,956948,,,
948,958352,957948,,,
949,959345,958950,,,
950,960348,959950,,,
951,961341,960951,,,
952,962398,961951,,,
953,963396,962952,,,
954,964457,963952,,,
955,965454,964953,,,
956,966456,965953,,,
957,967396,966953,,,
958,968397,967954,,,
959,969354,968954,,,
960,970390,969955,,,
961,971341,970955,,,
962,972420,971956,,,
963,973418,972956,,,
964,974429,973957,,,
965,975400,974957,,,
966,976421,975958,,,
967,977311,976958,,,
968,978361,977958,,,
969,979372,978959,,,
970,980365,979959,,,
971,981374,980960,,,
972,982360,981960,,,
973,983425,982961,,,
974,984425,983961,,,
975,985425,984962,,,
976,986436,985962,,,
977,987425,986962,,,
978,988419,987963,,,
979,989413,988963,,,
980,990429,989965,,,
981,991377,990965,,,
982,992379,991966,,,
983,993388,992966,,,
984,994387,993967,,,
985,995387,994967,,,
986,996361,995968,,,
987,997365,996968,,,
988,998373,997968,,,
989,999380,998969,,,
990,1000383,999969,,,
991,1001408,1000970,,,
992,1002366,1001970,,,
993,1003409,1002971,,,
994,1004414,1003971,,,
995,1005479,1004972,,,
996,1006455,1005972,,,
997,1007477,1006972,,,
998,1008456,1007973,,,
999,1009461,1008973,,,
1000,1010439,1009974,,,
1001,1011480,1010974,,,
1002,1012430,1011975,,,
1003,1013433,1012975,,,
1004,1014443,1013976,,,
1005,1015437,1014976,,,
1006,1016373,1015976,,,
1007,1017427,1016977,,,
1008,1018431,1017977,,,
1009,1019390,1018978,,,
1010,1020414,1019979,,,
1011,1021432,1020980,,,
1012,1022442,1021980,,,
1013,1023432,1022981,,,
1014,1024416,1023981,,,
1015,1025487,1024982,,,
1016,1026488,1025982,,,
1017,1027488,1026982,,,
1018,1028500,1027983,,,
1019,1029481,1028983,,,
1020,1030479,1029984,,,
1021,1031418,1030984,,,
1022,1032472,1031985,,,
1023,1033430,1032985,,,
1024,1034461,1033986,,,
1025,1035433,1034986,,,
1026,1036449,1035986,,,
1027,1037449,1036987,,,
1028,1038443,1037987,,,
1029,1039425,1038988,,,
1030,1040440,1039988,,,
1031,1041483,1040989,,,
1032,1042467,1041989,,,
1033,1043432,1042990,,,
1034,1044442,1043990,,,
1035,1045433,1044990,,,
1036,1046508,1045991,,,
1037,1047497,1046991,,,
1038,1048496,1047992,,,
1039,1049495,1048992,,,
1040,1050496,1049994,,,
1041,1051485,1050994,,,
1042,1052490,1051995,,,
1043,1053483,1052995,,,
1044,1054438,1053996,,,
1045,1055500,1054996,,,
1046,1056456,1055996,,,
1047,1057444,1056997,,,
1048,1058470,1057997,,,
1049,1059441,1058998,,,
1050,1060398,1059998,,,
1051,1061381,1060999,,,
1052,1062460,1061999,,,
1053,1063442,1063000,,,
1054,1064406,1064000,,,
1055,1065463,1065000,,,
1056,1066451,1066001,,,
1057,1067384,1067001,,,
1058,1068463,1068002,,,
1059,1069445,1069002,,,
1060,1070412,1070003,,,
1061,1071444,1071003,,,
1062,1072428,1072004,,,
1063,1073445,1073004,,,
